ingreds,recipe,quant,ingred,Proper,Name,Price,units,Quantity,QUnit,Qunat_recipe,unit_recipe,stand_quant
Echalion Shallot,Sun-Dried Tomato Turkey Pasta,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Chicken Stock Powder,Sun-Dried Tomato Turkey Pasta,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Balsamic Vinegar,Sun-Dried Tomato Turkey Pasta,1 sachet,Balsamic Vinegar,balsamic vinegar,Balsamic Vinegar 250ml,1.2,250m,250,ml,1,sachet,1
Broccoli,Sun-Dried Tomato Turkey Pasta,1 unit(s),Broccoli,broccoli loose,Broccoli Loose,1.6,x1,1,unit,1,unit(s),1
Water,Sun-Dried Tomato Turkey Pasta,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Aubergine,Wholewheat Spaghetti,1 unit(s),Aubergine,aubergine,Aubergine,0.6,x1,1,unit,1,unit(s),1
Wholewheat Spaghetti,Wholewheat Spaghetti,150 grams,Wholewheat Spaghetti,spaghetti,Spaghetti 500g,0.55,500g,500,g,150,grams,0.3
Finely Chopped Tomatoes with Onion and Garlic,Wholewheat Spaghetti,1 pack(s),Finely Chopped Tomatoes with Onion and Garlic,pasta sauce onion and garlic,"Pasta Sauce, Onion & Garlic 500g",0.65,500g,500,g,1,pack(s),1
Asparagus,Wholewheat Spaghetti,1 pack(s),Asparagus,asparagus tips,Asparagus Tips 100g,1.75,100g,100,g,1,pack(s),1
Flat Leaf Parsley,Wholewheat Spaghetti,1 bunch(es),Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,1,bunch(es),1
Sundried Tomatoes,Wholewheat Spaghetti,1 bag(s),Sundried Tomatoes,Sundried Tomatoes,Sainsbury's Sun Dried Tomato Antipasto Oil 280g (150g*),1.75,280g,280,g,1,bag(s),1
Baby Plum Tomatoes,Wholewheat Spaghetti,1 punnet(s),Baby Plum Tomatoes,baby plum tomatoes,Baby Plum Tomatoes 250g,0.75,250g,250,g,1,punnet(s),1
Chilli Flakes,Wholewheat Spaghetti,1 pinch,Chilli Flakes,ancho chilli flakes,Ancho Chilli Flakes 27g,0.85,27g,27,g,1,pinch,0.111111111
Cauliflower,Veggie Packed Italian Soup,300 grams,Cauliflower,cauliflower,Cauliflower,0.79,x1,1,unit,300,grams,1
Red Onion,Veggie Packed Italian Soup,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Garlic,Veggie Packed Italian Soup,1 unit(s),Garlic,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Carrot,Veggie Packed Italian Soup,1 unit(s),Carrot,carrots,Carrots 1kg,0.41,1k,1000,g,1,unit(s),1
Vegetable Stock Powder,Veggie Packed Italian Soup,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Cavolo Nero,Veggie Packed Italian Soup,1 bag(s),Cavolo Nero,Cavolo Nero,Kale 200g,0.8,200g,200,g,1,bag(s),1
Cannellini Beans,Veggie Packed Italian Soup,1 pack(s),Cannellini Beans,cannellini beans in water,Cannellini Beans In Water 400g (235g*),0.55,400g,400,g,1,pack(s),1
Tomato Puree,Veggie Packed Italian Soup,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Basil 20g,Veggie Packed Italian Soup,1 bunch(es),Basil 20g,basil,Basil 15g,0.85,15g,15,g,1,bunch(es),1
Hazelnut,Veggie Packed Italian Soup,1 bag(s),Hazelnut,Hazelnut,Sainsbury's Blanched Hazelnuts 100g,1,100g,100,g,1,bag(s),1
Yellow Pepper,Veggie Packed Italian Soup,1 unit(s),Yellow Pepper,yellow pepper,Yellow Pepper,0.45,x1,1,unit,1,unit(s),1
Vine Tomatoes,Veggie Packed Italian Soup,2 unit(s),Vine Tomatoes,chopped tomatoes can,Chopped Tomatoes Can 400g,0.35,400g,400,g,2,unit(s),2
Rocket,Veggie Packed Italian Soup,1 bag(s),Rocket,spinach watercress and rocket salad,"Spinach, Watercress & Rocket Salad 80g",1.3,80g,80,g,1,bag(s),1
Ground Coriander,Veggie Packed Italian Soup,1 portion,Ground Coriander,ground coriander,Ground Coriander 36g,0.85,36g,36,g,1,portion,1
Water,Veggie Packed Italian Soup,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Olive Oil,Veggie Packed Italian Soup,1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Garlic,Creamy Lamb Bolognese,2 unit(s),Garlic,garlic,Garlic,0.25,x1,1,unit,2,unit(s),2
Lamb Mince,Creamy Lamb Bolognese,200 grams,Lamb Mince,lamb neck fillet appro,Lamb Neck Fillet (approx. 233g),18,233g,233,g,200,grams,0.858369099
Finely Chopped Tomatoes,Creamy Lamb Bolognese,1 pack(s),Finely Chopped Tomatoes,chopped tomatoes can,Chopped Tomatoes Can 400g,0.35,400g,400,g,1,pack(s),1
Creme Fraiche,Creamy Lamb Bolognese,100 grams,Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,100,grams,0.5
Chicken Stock Powder,Creamy Lamb Bolognese,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Wheat Rigatoni Pasta,Creamy Lamb Bolognese,200 grams,Wheat Rigatoni Pasta,napolina spaghetti,Napolina Spaghetti 500g,1.3,500g,500,g,200,grams,0.4
Baby Spinach,Creamy Lamb Bolognese,1 unit(s),Baby Spinach,young spinach,Young Spinach 260g,1.5,260g,260,g,1,unit(s),1
Water,Creamy Lamb Bolognese,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Small Sweet Potato,Herby Italian Chicken,2 unit(s),Small Sweet Potato,sweet potato,Sweet Potato 1.25kg,1.5,1.25k,1250,g,2,unit(s),2
Italian Herbs,Herby Italian Chicken,1 pot(s),Italian Herbs,Italian Herbs,Sainsbury's Italian Herb Seasoning 14g,0.85,14g,14,g,1,pot(s),1
Vine Tomatoes,Herby Italian Chicken,2 unit(s),Vine Tomatoes,chopped tomatoes can,Chopped Tomatoes Can 400g,0.35,400g,400,g,2,unit(s),2
Coriander,Herby Italian Chicken,1 bunch(es),Coriander,natco coriander ground,Natco Coriander Ground 100g,0.8,100g,100,g,1,bunch(es),1
Balsamic Vinegar,Herby Italian Chicken,1 sachet,Balsamic Vinegar,balsamic vinegar,Balsamic Vinegar 250ml,1.2,250m,250,ml,1,sachet,1
Chicken Breast,Herby Italian Chicken,2 unit(s),Chicken Breast,garlic chicken breast fillet kievs,Garlic Chicken Breast Fillet Kievs 390g,3.5,390g,390,g,2,unit(s),2
Garlic Clove,Italian Pork Meatballs,2 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,2,unit(s),2
Pork Sausage Meat,Italian Pork Meatballs,280 grams,Pork Sausage Meat,butchers choice pork sausages,Butcher's Choice Pork Sausages x8 454g,1.5,454g,454,g,280,grams,0.616740088
Fennel,Italian Pork Meatballs,1 unit(s),Fennel,baby fennel,Baby Fennel 200g,1.4,200g,200,g,1,unit(s),1
Tomato Passata,Italian Pork Meatballs,1 pack(s),Tomato Passata,mutti double concentrate tomato,Mutti Double Concentrate Tomato 130g,1.2,130g,130,g,1,pack(s),1
Italian Herbs,Italian Pork Meatballs,1 pot(s),Italian Herbs,Italian Herbs,Sainsbury's Italian Herb Seasoning 14g,0.85,14g,14,g,1,pot(s),1
Chicken Stock Powder,Italian Pork Meatballs,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Puntalette Pasta,Italian Pork Meatballs,200 grams,Puntalette Pasta,napolina spaghetti,Napolina Spaghetti 500g,1.3,500g,500,g,200,grams,0.4
Grated Hard Italian Style Cheese,Italian Pork Meatballs,1 unit(s),Grated Hard Italian Style Cheese,grated mozzarella cheese,Grated Mozzarella Cheese 250g,1.7,250g,250,g,1,unit(s),1
Rocket,Italian Pork Meatballs,1 bag(s),Rocket,spinach watercress and rocket salad,"Spinach, Watercress & Rocket Salad 80g",1.3,80g,80,g,1,bag(s),1
Water,Italian Pork Meatballs,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Sage,Dairy Free Risotto (v),1 bunch(es),Sage,Sage,Sainsbury's Fresh Packed Sage 20g,0.75,20g,20,g,1,bunch(es),1
Diced Butternut Squash,Dairy Free Risotto (v),1 pack(s),Diced Butternut Squash,butternut squash loose,Butternut Squash Loose,1.5,x1,1,unit,1,pack(s),1
Vegetable Stock Powder,Dairy Free Risotto (v),1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Onion,Dairy Free Risotto (v),1 unit(s),Onion,onions,Onions 1kg,0.85,1k,1000,g,1,unit(s),1
Garlic Clove,Dairy Free Risotto (v),1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Hazelnut,Dairy Free Risotto (v),1 bag(s),Hazelnut,Hazelnut,Sainsbury's Blanched Hazelnuts 100g,1,100g,100,g,1,bag(s),1
Italian Herbs,Dairy Free Risotto (v),1 pot(s),Italian Herbs,Italian Herbs,Sainsbury's Italian Herb Seasoning 14g,0.85,14g,14,g,1,pot(s),1
Arborio Rice,Dairy Free Risotto (v),175 grams,Arborio Rice,gallo arborio rice,Gallo Arborio Rice 500g,2.3,500g,500,g,175,grams,0.35
White Wine Vinegar,Dairy Free Risotto (v),1 sachet,White Wine Vinegar,wine vinegar white wine,"Wine Vinegar, White Wine 500ml",0.99,500m,500,ml,1,sachet,1
Baby Spinach,Dairy Free Risotto (v),1 unit(s),Baby Spinach,young spinach,Young Spinach 260g,1.5,260g,260,g,1,unit(s),1
Lemon,Dairy Free Risotto (v),1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Rocket,Dairy Free Risotto (v),1 bag(s),Rocket,spinach watercress and rocket salad,"Spinach, Watercress & Rocket Salad 80g",1.3,80g,80,g,1,bag(s),1
Water,Dairy Free Risotto (v),1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Tenderstem Broccoli ??,Creamy Chicken Gnocchi,1 pack(s),Tenderstem Broccoli ??,tenderstem broccoli,Tenderstem Broccoli 200g,1.2,200g,200,g,1,pack(s),1
Gnocchi,Creamy Chicken Gnocchi,1 pack(s),Gnocchi,Gnocchi,Sainsbury's Fresh Gnocchi 500g,1.75,500g,500,g,1,pack(s),1
Echalion Shallot,Creamy Chicken Gnocchi,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Tarragon,Creamy Chicken Gnocchi,1 bunch(es),Tarragon,Tarragon,Sainsbury's Fresh Packed Tarragon 20g,0.75,20g,20,g,1,bunch(es),1
Diced Chicken Breast,Creamy Chicken Gnocchi,280 grams,Diced Chicken Breast,british fresh diced chicken breast,British Fresh Diced Chicken Breast 410g,2.4,410g,410,g,280,grams,0.682926829
Chicken Stock Powder,Creamy Chicken Gnocchi,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Creme Fraiche,Creamy Chicken Gnocchi,1 pot(s),Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,1,pot(s),1
Water,Creamy Chicken Gnocchi,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Closed Cup Mushrooms,Garlic Mushroom Gnocchi (v),1 punnet(s),Closed Cup Mushrooms,closed cup chestnut mushrooms,Closed Cup Chestnut Mushrooms 300g,1,300g,300,g,1,punnet(s),1
Easy Garlic,Garlic Mushroom Gnocchi (v),1 sachet,Easy Garlic,garlic,Garlic,0.25,x1,1,unit,1,sachet,1
Flat Leaf Parsley,Garlic Mushroom Gnocchi (v),1 bunch(es),Flat Leaf Parsley,fresh packed flat leaf parsley,Fresh Packed Flat Leaf Parsley 30g,0.75,30g,30,g,1,bunch(es),1
Cavolo Nero,Garlic Mushroom Gnocchi (v),1 bag(s),Cavolo Nero,Cavolo Nero,Kale 200g,0.8,200g,200,g,1,bag(s),1
Gnocchi,Garlic Mushroom Gnocchi (v),1 pack(s),Gnocchi,Gnocchi,Sainsbury's Fresh Gnocchi 500g,1.75,500g,500,g,1,pack(s),1
Creme Fraiche,Garlic Mushroom Gnocchi (v),1 pack(s),Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,1,pack(s),1
Goat's Cheese,Garlic Mushroom Gnocchi (v),1 pack(s),Goat's Cheese,abergavenny goats cheese,Abergavenny Goats Cheese 125g,1.85,125g,125,g,1,pack(s),1
Turkey Steak,Breaded Turkey Steak,2 unit(s),Turkey Steak,quick cook turkey steaks,Quick Cook Turkey Steaks x4 400g,3.05,400g,400,g,2,unit(s),2
Garlic Mayonnaise,Breaded Turkey Steak,1 sachet,Garlic Mayonnaise,Garlic Mayonnaise,Hellmann's Real Squeezy Mayonnaise 430ml,1.5,430m,430,ml,1,sachet,1
Panko Breadcrumbs,Breaded Turkey Steak,30 grams,Panko Breadcrumbs,yutaka panko breadcrumbs,Yutaka Panko Breadcrumbs 180g,1.8,180g,180,g,30,grams,0.166666667
Red Onion,Breaded Turkey Steak,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Rosemary,Breaded Turkey Steak,2 sprig(s),Rosemary,fresh packed rosemary,Fresh Packed Rosemary 20g,0.75,20g,20,g,2,sprig(s),0.3
Vine Tomatoes,Breaded Turkey Steak,2 unit(s),Vine Tomatoes,chopped tomatoes can,Chopped Tomatoes Can 400g,0.35,400g,400,g,2,unit(s),2
Broccoli Florets,Breaded Turkey Steak,1 bag(s),Broccoli Florets,broccoli loose,Broccoli Loose,1.6,x1,1,unit,1,bag(s),1
Borlotti Beans,Breaded Turkey Steak,1 pack(s),Borlotti Beans,cannellini beans in water,Cannellini Beans In Water 400g (235g*),0.55,400g,400,g,1,pack(s),1
Garlic Clove,Breaded Turkey Steak,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Red Wine Stock,Breaded Turkey Steak,1 pot(s),Red Wine Stock,Red Wine Stock,Oxo Red Wine Stock Pots x4 20g,1,20g,20,g,1,pot(s),1
Water,Breaded Turkey Steak,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Pork Sausage Meat,"Pork, Sage and Onion Spaghetti",225 grams,Pork Sausage Meat,butchers choice pork sausages,Butcher's Choice Pork Sausages x8 454g,1.5,454g,454,g,225,grams,0.495594714
Red Onion,"Pork, Sage and Onion Spaghetti",1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Sage,"Pork, Sage and Onion Spaghetti",1 bunch(es),Sage,Sage,Sainsbury's Fresh Packed Sage 20g,0.75,20g,20,g,1,bunch(es),1
Wheat Spaghetti,"Pork, Sage and Onion Spaghetti",200 grams,Wheat Spaghetti,spaghetti,Spaghetti 500g,0.55,500g,500,g,200,grams,0.4
KNORR Chicken Stock,"Pork, Sage and Onion Spaghetti",1 pot(s),KNORR Chicken Stock,KNORR Chicken Stock,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,pot(s),1
Cavolo Nero,"Pork, Sage and Onion Spaghetti",1 bag(s),Cavolo Nero,Cavolo Nero,Kale 200g,0.8,200g,200,g,1,bag(s),1
Creme Fraiche,"Pork, Sage and Onion Spaghetti",100 grams,Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,100,grams,0.5
Walnuts,"Pork, Sage and Onion Spaghetti",1 bag(s),Walnuts,Walnuts,"Sainsbury's Walnut Pieces, SO Organic 100g",1.9,100g,100,g,1,bag(s),1
Grated Hard Italian Style Cheese,"Pork, Sage and Onion Spaghetti",1 pack(s),Grated Hard Italian Style Cheese,grated mozzarella cheese,Grated Mozzarella Cheese 250g,1.7,250g,250,g,1,pack(s),1
Water,"Pork, Sage and Onion Spaghetti",1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Diced Butternut Squash,Creamy Herb Fusili (v),1 bag(s),Diced Butternut Squash,butternut squash loose,Butternut Squash Loose,1.5,x1,1,unit,1,bag(s),1
Cherry Plum Tomatoes,Creamy Herb Fusili (v),1 punnet(s),Cherry Plum Tomatoes,cherry tomatoes,Cherry Tomatoes 250g,1.75,250g,250,g,1,punnet(s),1
Garlic Clove,Creamy Herb Fusili (v),1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Red Wine Vinegar,Creamy Herb Fusili (v),1 sachet,Red Wine Vinegar,Red Wine Vinegar,"Sainsbury's Wine Vinegar, Red Wine 500ml",0.99,500m,500,ml,1,sachet,1
Onion,Creamy Herb Fusili (v),1 unit(s),Onion,onions,Onions 1kg,0.85,1k,1000,g,1,unit(s),1
Fresh Basil,Creamy Herb Fusili (v),1 bunch(es),Fresh Basil,fresh packed basil,Fresh Packed Basil 30g,0.75,30g,30,g,1,bunch(es),1
Chives,Creamy Herb Fusili (v),1 bunch(es),Chives,bunched chives,Bunched Chives 20g,0.75,20g,20,g,1,bunch(es),1
Hazelnut,Creamy Herb Fusili (v),1 bag(s),Hazelnut,Hazelnut,Sainsbury's Blanched Hazelnuts 100g,1,100g,100,g,1,bag(s),1
Lemon,Creamy Herb Fusili (v),1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Grated Hard Italian Style Cheese,Creamy Herb Fusili (v),1 unit(s),Grated Hard Italian Style Cheese,grated mozzarella cheese,Grated Mozzarella Cheese 250g,1.7,250g,250,g,1,unit(s),1
Wheat Fusilli,Creamy Herb Fusili (v),200 grams,Wheat Fusilli,Wheat Fusilli,Sainsbury's Wholewheat Fusilli 1kg,1,1k,1000,g,200,grams,0.2
Creme Fraiche,Creamy Herb Fusili (v),1 pack(s),Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,1,pack(s),1
Rocket,Creamy Herb Fusili (v),1 bag(s),Rocket,spinach watercress and rocket salad,"Spinach, Watercress & Rocket Salad 80g",1.3,80g,80,g,1,bag(s),1
Sugar,Creamy Herb Fusili (v),1 tsp,Sugar,white granulated sugar,White Granulated Sugar 1kg,0.75,1k,1000,g,1,tsp,0.003
Olive Oil,Creamy Herb Fusili (v),1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Water,Creamy Herb Fusili (v),1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Tenderstem Broccoli ??,Sausage and Tomato Pesto Pasta,1 pack(s),Tenderstem Broccoli ??,tenderstem broccoli,Tenderstem Broccoli 200g,1.2,200g,200,g,1,pack(s),1
Pork and Oregano Sausage,Sausage and Tomato Pesto Pasta,246 grams,Pork and Oregano Sausage,butchers choice pork sausages,Butcher's Choice Pork Sausages x8 454g,1.5,454g,454,g,246,grams,0.54185022
Finely Chopped Tomatoes with Basil,Sausage and Tomato Pesto Pasta,1 pack(s),Finely Chopped Tomatoes with Basil,stir in tomato and basil pasta sauce,Stir In Tomato & Basil Pasta Sauce 150g,0.9,150g,150,g,1,pack(s),1
Tomato Puree,Sausage and Tomato Pesto Pasta,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Wheat Penne Pasta,Sausage and Tomato Pesto Pasta,200 grams,Wheat Penne Pasta,penne,Penne 1kg,1,1k,1000,g,200,grams,0.2
Grated Hard Italian Style Cheese,Sausage and Tomato Pesto Pasta,1 unit(s),Grated Hard Italian Style Cheese,grated mozzarella cheese,Grated Mozzarella Cheese 250g,1.7,250g,250,g,1,unit(s),1
Green Pesto,Sausage and Tomato Pesto Pasta,1 pot(s),Green Pesto,pecorino dip with basil pesto,Pecorino Dip with Basil Pesto 170g,2,170g,170,g,1,pot(s),1
Water,Sausage and Tomato Pesto Pasta,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Aubergine,Oven Baked Ratatouille Risotto,1 unit(s),Aubergine,aubergine,Aubergine,0.6,x1,1,unit,1,unit(s),1
Red Pepper,Oven Baked Ratatouille Risotto,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Red Onion,Oven Baked Ratatouille Risotto,1 unit(s),Red Onion,red onions loose,Red Onions Loose,1,x1,1,unit,1,unit(s),1
Courgette,Oven Baked Ratatouille Risotto,1 unit(s),Courgette,courgettes,Courgettes 500g,1.25,500g,500,g,1,unit(s),1
Garlic Clove,Oven Baked Ratatouille Risotto,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Dried Italian Herbs,Oven Baked Ratatouille Risotto,1 pot(s),Dried Italian Herbs,Dried Italian Herbs,Sainsbury's Italian Herb Seasoning 14g,0.85,14g,14,g,1,pot(s),1
Tomato Puree,Oven Baked Ratatouille Risotto,1 sachet,Tomato Puree,tomato puree double concentrate,"Tomato Puree, Double Concentrate 200g",0.35,200g,200,g,1,sachet,1
Arborio Rice,Oven Baked Ratatouille Risotto,175 grams,Arborio Rice,gallo arborio rice,Gallo Arborio Rice 500g,2.3,500g,500,g,175,grams,0.35
Vegetable Stock Powder,Oven Baked Ratatouille Risotto,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Premium Tomatoes,Oven Baked Ratatouille Risotto,1 punnet(s),Premium Tomatoes,classic round tomatoes,Classic Round Tomatoes x6,0.75,x6,6,unit,1,punnet(s),0.166666667
Rocket,Oven Baked Ratatouille Risotto,1 bag(s),Rocket,spinach watercress and rocket salad,"Spinach, Watercress & Rocket Salad 80g",1.3,80g,80,g,1,bag(s),1
Chives,Oven Baked Ratatouille Risotto,1 bunch(es),Chives,bunched chives,Bunched Chives 20g,0.75,20g,20,g,1,bunch(es),1
Unsalted Butter,Oven Baked Ratatouille Risotto,30 grams,Unsalted Butter,lurpak butter unsalted,"Lurpak Butter, Unsalted 250g",2,250g,250,g,30,grams,0.12
Cheddar Cheese,Oven Baked Ratatouille Risotto,1 pack(s),Cheddar Cheese,british medium cheddar cheese slices,British Medium Cheddar Cheese Slices 240g,1.7,240g,240,g,1,pack(s),1
Lemon,Oven Baked Ratatouille Risotto,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Water,Oven Baked Ratatouille Risotto,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Olive Oil,Oven Baked Ratatouille Risotto,1 tbsp,Olive Oil,olive oil extra virgin  l,"Olive Oil, Extra Virgin 1L",3.4,1L,1000,ml,1,tbsp,0.017
Diced Chicken Thigh,Creamy Mozzarella Chicken Gnocchi,280 grams,Diced Chicken Thigh,roast chicken thighs,Roast Chicken Thighs 500g,3,500g,500,g,280,grams,0.56
Broccoli Florets,Creamy Mozzarella Chicken Gnocchi,1 pack(s),Broccoli Florets,broccoli loose,Broccoli Loose,1.6,x1,1,unit,1,pack(s),1
Garlic Salt,Creamy Mozzarella Chicken Gnocchi,1 pot(s),Garlic Salt,garlic granules,Garlic Granules 56g,0.85,56g,56,g,1,pot(s),1
Dried Thyme,Creamy Mozzarella Chicken Gnocchi,1 pot(s),Dried Thyme,thyme,Thyme 12g,0.85,12g,12,g,1,pot(s),1
Gnocchi,Creamy Mozzarella Chicken Gnocchi,1 pack(s),Gnocchi,Gnocchi,Sainsbury's Fresh Gnocchi 500g,1.75,500g,500,g,1,pack(s),1
Mozzarella,Creamy Mozzarella Chicken Gnocchi,1 ball(s),Mozzarella,Mozzarella,Mozzarella Cheese 150g,0.75,150g,150,g,1,ball(s),1
Chicken Stock Powder,Creamy Mozzarella Chicken Gnocchi,1 sachet,Chicken Stock Powder,Chicken Stock Powder,Oxo Reduced Salt Chicken Stock Cubes x12 71g,1,71g,71,g,1,sachet,1
Creme Fraiche,Creamy Mozzarella Chicken Gnocchi,100 grams,Creme Fraiche,yeo valley organic half fat creme fraiche,Yeo Valley Organic Half Fat Creme Fraiche 200g,1.1,200g,200,g,100,grams,0.5
Original Onion Marmalade,Creamy Mozzarella Chicken Gnocchi,1 pot(s),Original Onion Marmalade,onion relish,Onion Relish 320g,1.2,320g,320,g,1,pot(s),1
Water,Creamy Mozzarella Chicken Gnocchi,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Echalion Shallot,Smoked Seafood Risotto,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Dill,Smoked Seafood Risotto,1 bunch(es),Dill,bunched dill,Bunched Dill 20g,0.65,20g,20,g,1,bunch(es),1
Lemon,Smoked Seafood Risotto,1 unit(s),Lemon,lemons,Lemons,0.3,x1,1,unit,1,unit(s),1
Vegetable Stock Powder,Smoked Seafood Risotto,1 sachet,Vegetable Stock Powder,oxo vegetable stock cubes,Oxo Vegetable Stock Cubes x12 71g,1.6,71g,71,g,1,sachet,1
Baby Plum Tomatoes,Smoked Seafood Risotto,1 punnet(s),Baby Plum Tomatoes,baby plum tomatoes,Baby Plum Tomatoes 250g,0.75,250g,250,g,1,punnet(s),1
Arborio Rice,Smoked Seafood Risotto,175 grams,Arborio Rice,gallo arborio rice,Gallo Arborio Rice 500g,2.3,500g,500,g,175,grams,0.35
Smoked Fish Mix,Smoked Seafood Risotto,215 grams,Smoked Fish Mix,Smoked Fish Mix,Capsicana Mexican Smoked Cumin & Chipotle for Fajitas Seasoning Mix 28g,1.1,28g,28,g,215,grams,7.678571429
Grated Hard Italian Style Cheese,Smoked Seafood Risotto,1 unit(s),Grated Hard Italian Style Cheese,grated mozzarella cheese,Grated Mozzarella Cheese 250g,1.7,250g,250,g,1,unit(s),1
Water,Smoked Seafood Risotto,1 unit(s),Water,Water,Water,0,x1,1,unit,1,unit(s),1
Streaky Bacon Rasher,Smokey Pasta Alforno,4 unit(s),Streaky Bacon Rasher,unsmoked streaky bacon rashers,Unsmoked Streaky Bacon Rashers 300g,2,300g,300,g,4,unit(s),4
Wheat Rigatoni Pasta,Smokey Pasta Alforno,200 grams,Wheat Rigatoni Pasta,napolina spaghetti,Napolina Spaghetti 500g,1.3,500g,500,g,200,grams,0.4
Echalion Shallot,Smokey Pasta Alforno,1 unit(s),Echalion Shallot,Echalion Shallot,Sainsbury's Shallots 400g,1.2,400g,400,g,1,unit(s),1
Red Pepper,Smokey Pasta Alforno,1 unit(s),Red Pepper,red pepper,Red Pepper,0.45,x1,1,unit,1,unit(s),1
Garlic Clove,Smokey Pasta Alforno,1 unit(s),Garlic Clove,garlic,Garlic,0.25,x1,1,unit,1,unit(s),1
Red Kidney Beans,Smokey Pasta Alforno,1 pack(s),Red Kidney Beans,red kidney beans in chilli sauce,Red Kidney Beans in Chilli Sauce 400g,0.65,400g,400,g,1,pack(s),1
